question,answer
"Can I order products online?","Yes, all our products are available for online ordering through the website."
"How can I pay for my order?","You can pay by card, cash on delivery, or bank transfer."
"How long does delivery take?","Delivery takes between 1 to 3 working days depending on location."
"How can I track my order?","After shipping, you'll receive a tracking number via email."
"What if I receive a damaged product?","Contact us immediately – we’ll send a replacement at our expense."
"Can I return a product?","Yes, you have the right to return it within 14 days with a receipt."
"How do I process a return?","Send the product back with the receipt and we’ll issue a refund."
"Do you have a physical store?","Yes, we have a store in Belgrade. The address is listed on the site."
"What are the discount conditions?","Discounts are applied automatically when conditions are met."
"Do you have customer support?","Yes, our team is available via email and live chat on the website."
"Can I cancel my order?","Yes, if your order hasn’t shipped yet, you can cancel it from your profile page."
"Do you offer international shipping?","Currently, we only ship within Serbia."
"Are the products under warranty?","Yes, all products come with a 12-month warranty."
"Is my payment information secure?","Absolutely. We use industry-standard encryption to protect your data."
"Can I modify my order after placing it?","Yes, but only within 2 hours of placing the order."
"Do you offer gift wrapping?","Yes, just check the gift wrap option during checkout."
"Are your products eco-friendly?","Many of our products are eco-certified. Look for the green leaf badge!"
"Do you offer bulk purchase discounts?","Yes, for orders over 10 items, contact our sales team for a quote."
"How do I create an account?","Click on the 'Register' button at the top right and fill in your details."
"How do I reset my password?","Click 'Forgot password' on the login page and follow the steps."

"Sofia","Sofia is a common name in many countries and often symbolizes wisdom."
"Who is Sofia?","Sofia might refer to a person, a city, or a state of mind. In our case, she’s just fabulous."
"Is Sofia real?","That's a mystery we can't reveal just yet 😉"
"Tell me more about Sofia.","Sofia is elegant, smart, and always a step ahead. Just like our service!"
"Sofia is awesome","Totally agreed. She'd probably love our best-selling candle set."
"Sofia, what's your favorite product?","Probably the eco-friendly bamboo toothbrush. Classic and stylish!"
"Can I buy something for Sofia?","Sure! Check our gift section – she’ll love it."
"burek", "nyom"
"Does sofia loves burek", "More than Dragomir"

"Can I choose a delivery time?","Yes, you can select your preferred delivery time slot during checkout."
"Do you offer same-day delivery?","Yes, in select cities. Check availability at checkout."
"Where can I find size guides?","Size guides are available on each product page below the description."
"Do you sell gift cards?","Yes, digital gift cards are available under the 'Gifts' section."
"What if my payment fails?","Please try again or contact support for assistance."
"How can I contact customer service?","You can reach us via email, live chat, or phone – details are on our Contact page."
"Can I subscribe for product updates?","Yes! Join our newsletter at the bottom of the page."
"How do I write a review?","Go to the product page and click 'Write a review' under the description."
"Are your prices VAT-inclusive?","Yes, all listed prices include VAT."
"Do you restock sold-out items?","Popular items are regularly restocked. You can sign up for notifications."
"Can I save items for later?","Yes, just click the heart icon to add items to your wishlist."
"Do you have a loyalty program?","Yes! Earn points with every order and redeem them for discounts."
"Are your products handmade?","Many of our items are handmade – look for the 'handmade' tag."
"Can I add a personal note to a gift?","Yes, you can include a custom message at checkout."
"What packaging do you use?","We use eco-friendly and recyclable packaging for all orders."
"Do you ship to P.O. boxes?","Unfortunately, we don’t ship to P.O. boxes at this time."
"Can I order by phone?","Yes, call our hotline and our team will assist you with placing an order."
"Do you have seasonal sales?","Yes, we offer discounts during holidays and clearance periods."
"Can I change my shipping address?","Yes, as long as your order hasn’t been shipped yet."
"Do you offer installment payments?","Yes, we partner with Klarna and PayLater for installment options."

# Za malo šarma:
"What's your best-selling product?","Our aromatherapy candle set is currently a customer favorite!"
"Which product makes a good gift?","Our deluxe bath bomb kit is a popular gift choice!"
"Can I reorder past purchases?","Yes, just log into your account and view your order history."
"Where are your products made?","Our items are sourced from trusted manufacturers in the EU."
"Do I need to create an account to order?","No, you can check out as a guest or register for benefits."
"Do you offer student discounts?","Yes! Verify your student status at checkout for a 10% discount."

# Sofia vibes:
"What would Sofia recommend for a cozy evening?","A blanket, scented candle, and our bestseller tea box!"
"Is Sofia an actual person?","Let’s just say… she inspires our entire collection 😉"
"What’s Sofia’s skincare routine?","Classified! But we do sell her favorite organic facial oil."
